path,name,training_MAPE,training_rmse,test_MAPE,test_rmse,combined_MAPE,combined_rmse,test_MAPE_without_worse,test_rmse_without_worse,combined_MAPE_without_worse,combined_rmse_without_worse,additional_input_names,backend,fcn_model,featurizer,gcn_layer_sizes,gcn_output_dims,learning_rate,loss_function,metrics,pooling,smiles_column,task_names
pretrained/np_model_0,np_model_0,0.046140234949364305,18.45506851818752,2.810303556680282,936.2270936024785,0.5690368234207278,407.5384776933218,0.17599611917189634,55.52722596089653,0.06653241824949525,27.772151664758304,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_1,np_model_1,0.06134875465198188,24.91373884810834,0.13327268590828104,28.749340177189584,0.06798512736141596,25.29201841008432,0.11917635181032694,28.938681554876695,0.0658678432866427,25.251398089643075,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_2,np_model_2,0.054157322646257736,21.84681237121438,0.16733514405219008,39.32268437270043,0.06464048387373988,24.00622951968969,0.1383848066672936,37.6280144699244,0.06071377053348536,23.459425003343096,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_3,np_model_3,0.05408083061211714,20.087497191816265,0.23788293065803182,58.60377886680879,0.07437960190325842,27.170464499785417,0.1898867889883579,44.521631192070984,0.06349563055918415,22.64838432669919,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_4,np_model_4,0.06766859936869236,25.79735617117761,0.11288806947812947,50.12836016807005,0.07153488822735461,28.69586911413653,0.06290417328108655,16.88868690551623,0.06734993182957226,25.29958346770586,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_5,np_model_5,0.05348779110854386,20.512828020785296,0.1428582690481444,49.69794479654046,0.05931422411992501,23.54498009272203,0.11988241260820036,35.343699781185165,0.056414475699239096,21.384390340626712,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_6,np_model_6,0.05376514037392872,22.438987287734943,0.33462363735619244,73.17097381920186,0.07947965185395785,30.783160721204396,0.1316840458687121,41.493318248276154,0.05751711454668984,23.710054110571644,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_7,np_model_7,0.05815956724228309,23.881685751994,0.20886189606684127,44.17065208962158,0.07319221849660311,26.609429840159663,0.1645500229978325,42.518880831796075,0.06419590515749156,25.309066217770994,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_8,np_model_8,0.04937116492179503,18.893948095868353,0.13152901777101933,48.569254585935695,0.05630789848975589,22.9349722473274,0.13523202223254666,52.5095398432797,0.053565699771913174,21.777074490994682,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_9,np_model_9,0.04749936377305033,16.29361988844087,0.401554036950253,85.65043567811041,0.07903255518534126,29.919955454340567,0.274162552905228,78.667760651877,0.058304908729817084,23.406221776387454,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_10,np_model_10,0.10331032882547049,34.48422808594879,0.29768767066809465,77.03428933458903,0.1206221690323305,40.14694079825211,0.2420803867177978,78.47384810109578,0.10992581017005815,37.7630056471327,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[None, None, None, None, None, None]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
pretrained/np_model_11,np_model_11,0.05800806009632727,20.635627453881828,0.2567698173849615,79.08807592815813,0.07478986860270642,30.298348844514763,0.2529712333516655,79.6953379222025,0.06990387665958685,28.06027080728444,"['dp', 'with_pva', 'polymer_concentration']",pytorch_geometric,"{'layer': [{'args': [67, 32], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}, {'args': [32, 16], 'module': 'Linear'}, {'args': [0.1], 'module': 'Dropout'}, {'module': 'ReLU'}]}","['atom_symbol_hcnopsclbr_other_one_hot', 'atom_degree_one_hot', 'atom_implicit_valence_one_hot', 'atom_explicit_valence_one_hot', 'atom_formal_charge', 'atom_partial_charge', 'atom_hybridization_one_hot', 'atom_is_aromatic', 'atom_total_num_H_one_hot', 'atom_num_radical_electrons', 'atom_mass']","[5, 5, 5, 5, 5, 5]",64,0.001,"{'kwargs': {}, 'name': 'RMAE'}","['MAPE', 'rmse']","['weight_sum', 'max']",circular_smiles_10,['z_average']
